object_type,schema_name,object_name,detail_name,data_type,is_nullable,column_default
column,auth,audit_log_entries,created_at,timestamp with time zone,YES,null
column,auth,audit_log_entries,id,uuid,NO,null
column,auth,audit_log_entries,instance_id,uuid,YES,null
column,auth,audit_log_entries,ip_address,character varying,NO,''::character varying
column,auth,audit_log_entries,payload,json,YES,null
constraint,auth,audit_log_entries,16498_16529_2_not_null,CHECK,null,null
constraint,auth,audit_log_entries,16498_16529_5_not_null,CHECK,null,null
constraint,auth,audit_log_entries,audit_log_entries_pkey,PRIMARY KEY,null,null
column,auth,custom_oauth_providers,acceptable_client_ids,ARRAY,NO,'{}'::text[]
column,auth,custom_oauth_providers,attribute_mapping,jsonb,NO,'{}'::jsonb
column,auth,custom_oauth_providers,authorization_params,jsonb,NO,'{}'::jsonb
column,auth,custom_oauth_providers,authorization_url,text,YES,null
column,auth,custom_oauth_providers,cached_discovery,jsonb,YES,null
column,auth,custom_oauth_providers,client_id,text,NO,null
column,auth,custom_oauth_providers,client_secret,text,NO,null
column,auth,custom_oauth_providers,created_at,timestamp with time zone,NO,now()
column,auth,custom_oauth_providers,custom_claims_allowlist,ARRAY,NO,'{}'::text[]
column,auth,custom_oauth_providers,discovery_cached_at,timestamp with time zone,YES,null
column,auth,custom_oauth_providers,discovery_url,text,YES,null
column,auth,custom_oauth_providers,email_optional,boolean,NO,false
column,auth,custom_oauth_providers,enabled,boolean,NO,true
column,auth,custom_oauth_providers,id,uuid,NO,gen_random_uuid()
column,auth,custom_oauth_providers,identifier,text,NO,null
column,auth,custom_oauth_providers,issuer,text,YES,null
column,auth,custom_oauth_providers,jwks_uri,text,YES,null
column,auth,custom_oauth_providers,name,text,NO,null
column,auth,custom_oauth_providers,pkce_enabled,boolean,NO,true
column,auth,custom_oauth_providers,provider_type,text,NO,null
column,auth,custom_oauth_providers,scopes,ARRAY,NO,'{}'::text[]
column,auth,custom_oauth_providers,skip_nonce_check,boolean,NO,false
column,auth,custom_oauth_providers,token_url,text,YES,null
column,auth,custom_oauth_providers,updated_at,timestamp with time zone,NO,now()
column,auth,custom_oauth_providers,userinfo_url,text,YES,null
constraint,auth,custom_oauth_providers,16498_17084_10_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_11_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_12_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_13_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_16_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_1_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_23_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_24_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_25_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_2_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_3_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_4_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_5_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_6_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_7_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_8_not_null,CHECK,null,null
constraint,auth,custom_oauth_providers,16498_17084_9_not_null,CHECK,null,null
